Comments,Year,ID Number,Name,Name UD,Illustration,CEFR level,Definition in Russian,Definition in English,Definition in Norwegian,Example 1,Example 2,Example 3,Example 4,Example 5,Morphology,Synt. function of construction,Synt. function of anchor,Synt. structure of anchor,Part of speech of anchor,SemType1,SemSubType1,SemType2,SemSubType2,SemType3,SemSubType3,SemType4,SemSubType4,Semantic role,Communicative type (only for Clause and Biclausal),Usage label,Anchor words,Common fillers,Comment,STRUCTURE in UD,Actionality,Actuality,Additive,Addressee,Apprehension,Assessment,Attitude,Calculation,Caritive,Causation,Cause,Comitative,Comparison,Condition,Concession,Consequence,Degree of accuracy,Degree of intensity,Discourse structure,Epistemic modality (Degree of certainty),Exceptive,Exclusive,Inclusive,Instrument,Manner,Measure,Mirative,Non-existence,Non-Standard Subject,Options,Phase of action,Pluractionality,Possession,Prohibition,Purpose,Quantification,Reaction to the previous discourse,Request,Result,Root modality,Routine,Salient property,Source of information,Source of opinion,Spatial expression,Subset,Taxis,Temporal expression,Temporary characteristics,Timeline,Threat,Volition
,,3,(а) как же NP-Nom?,(а) как же NP-Nom?,А как же мама?,,,,,,,,,,,Clause,Clause,,,Reaction to the previous discourse,Surprise,Mirative,,,,,,,Interrogative / Exclamatory,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,Surprise,,,,,,,,,,,,,,,
,,4,(а) при чём здесь/тут Cop NP-Nom?,(а) при чём здесь/тут Cop NP-Nom?,При чём здесь наши отношения?,,,,,,,,,,,,Clause,,,Reaction to the previous discourse,,,,,,,,,Interrogative / Exclamatory,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,
,,5,"(а) NP-Nom/кто (же) его знает, Cl","(а) NP-Nom/кто (же) его знает, Cl","Кто его знает, почему она так поступила.",,,,,,,,,,,Matrix,Matrix,,,Epistemic modality,Low degree of certainty,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,Low degree of certainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,(а/так) что насчёт XP?,(а/так) что насчёт XP?,Что насчёт пятницы? Какие у тебя планы?,,,,,,,,,,,Clause,Clause,Prep,,Discourse structure,Topic,,,,,,,,Interrogative,NA,,,,,,,,,,,,,,,,,,,,,,,Topic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,NP-Nom Cop похожий-Short на NP-Acc,NP-Nom Cop похожий-Short на NP-Acc,Вася похож на папу.,,,,,,,,,,,Clause,Praedic,Praedic; Simplex prep,,Comparison,Similarity,,,,,,,,,NA,,,,,,,,,,,,,,,,,Similarity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,"(вот) то́-то и оно́, что Cl/XP","(вот) то́-то и оно́, что Cl/XP","То-то и оно, что от меня ничего не зависит.",,,,,,,,,,,Clause,Matrix,Matrix,,Reaction to the previous discourse,Focus,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focus,,,,,,,,,,,,,,,
,,9,(всё) никак не VP-Ipfv,(всё) никак не VP-Imp,Задача всё никак не решалась.,,,,,,,,,,,,Adv,,,Degree of intensity,Minimizer: Absence,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,Minimizer: Absence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,"(единственное) что (не) VP, так это (не) VP","(единственное) что (не) VP, так это (не) VP","Чего дочь не сделала, так это не убралась.",,,,,,,,,,,,Biclausal,,,Quantification,Exclusive,Discourse structure,Emphasis,,,,,,Assertive,NA,,,,,,,,,,,,,,,,,,,,,,,Emphasis,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,"(как) по мне, (так) Cl","(как) по мне, (так) Cl","Как по мне, это ещё не беда.",,,,,,,,,,,,Parenth,,,Source of opinion,Expressing opinion,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expressing opinion,,,,,,,,
,,12,(не) время Cop VP-Inf,(не) время Cop VP-Inf,Самое время вершить большие дела.,,,,,,,,,,,,Clause,,,Causation,Indirect,Time,Proper time,,,,,,Assertive,NA,,,,,,,,,,,,,,Indirect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Proper time,,,,
,,13,NP-Nom пойти/Cop весь в NP-Acc,NP-Nom пойти/Cop весь в NP-Acc,Он пошел весь в отца.,,,,,,,,,,,Verb pattern,Adj / Light verb,Verb; Praedic; Simplex prep; Pron,,Comparison,Similarity,,,,,,,,,NA,,,,,,,,,,,,,,,,,Similarity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14,(Cl) разве что/только Cl,(Cl) разве что/только Cl,"Не буду пить, разве что пригублю.",,,,,,,,,,,,Biclausal,,,Concession,,Quantification,Exclusive,,,,,,Assertive,NA,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15,"Cl, а NP-Nom опять VP-Imp!","Cl, а NP-Nom опять VP-Imper!","Он ушел домой, а я опять переделывай всё после него.",,,,,,,,,,,,Clause,,,Attitude,Dissatisfaction,Comparison,Contrast,Root modality,Necessity: External,,,,Exclamatory,Colloquial,,,,,,,,,,,Dissatisfaction,,,,,,Contrast,,,,,,,,,,,,,,,,,,,,,,,,,,,Necessity: External,,,,,,,,,,,,
,,16,(NP-Dat) грех Cop VP-Inf,(NP-Dat) грех Cop VP-Inf,Грех обижаться на взрослых.,,,,,,,,,,,,Praedic,,,Assessment,Negative,,,,,,,,,Colloquial,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17,(NP-Dat) давно пора Cop VP-Inf,(NP-Dat) давно пора Cop VP-Inf,Детям давно пора поесть.,,,,,,,,,,,,Praedic,,,Time,Proper time,Causation,Direct,Root modality,Necessity: External,,,,Assertive,NA,,,,,,,,,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necessity: External,,,,,,,,Proper time,,,,
,,18,(NP-Dat) не мешало бы/не мешает VP-Pfv.Inf,(NP-Dat) не мешало бы/не мешает VP-Perf.Inf,Нам не мешало бы подкрепиться.,,,,,,,,,,,,Clause,,,Causation,Indirect,Volition,,Root modality,Necessity: External,,,,Assertive,Colloquial,,,,,,,,,,,,,,Indirect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necessity: External,,,,,,,,,,,,Unspecified
,,19,(NP-Dat) Cop не положено VP-Ipfv.Inf,(NP-Dat) Cop не положено VP-Imp.Inf,Детям не положено гулять поздно.,,,,,,,,,,,,Clause,,,Prohibition,Prohibitive,,,,,,,,Exclamatory,Formal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prohibitive,,,,,,,,,,,,,,,,,,
,,20,(NP-Dat) Cop не Prep кто/что VP-Inf ,(NP-Dat) Cop не Prep кто/что VP-Inf ,Мне не с кем погулять.,,,,,,,,,,,Praedic,Praedic,Verb pattern; Adv; Double negation,,Non-existence,Absence,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Absence,,,,,,,,,,,,,,,,,,,,,,,,
,,21,(NP-Dat) нельзя Cop не VP-Inf,(NP-Dat) нельзя не VP-Inf,Нельзя было не согласиться с ним тогда.,,,,,,,,,,,,Praedic,,,Attitude,No choice,Root modality,Necessity: External,,,,,,,NA,,,,,,,,,,,No choice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necessity: External,,,,,,,,,,,,
,,22,(NP-Dat) Cop девать некуда NP-Acc ,(NP-Dat)  Cop девать некуда NP-Acc,Нам уже еду девать некуда.,,,,,,,,,,,,Clause,,,Measure,,,,,,,,,Exclamatory,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,
,,23,(NP-Dat) VP-Inf Cop незачем,(NP-Dat) VP-Inf Cop незачем,Жить ему было незачем.,,,,,,,,,,,Praedic,Praedic,Verb pattern; Adv; Double negation,,Non-existence,Absence,Purpose,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Absence,,,,,,,Unspecified,,,,,,,,,,,,,,,,,
,,24,(NP-Dat) VP-Inf Cop некуда,(NP-Dat) VP-Inf Cop некуда,Дальше идти некуда.,,,,,,,,,,,Praedic,Praedic,Verb pattern; Adv; Double negation,,Non-existence,Absence,Spatial expression,Path:Goal,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Absence,,,,,,,,,,,,,,,,,Path: Goal,,,,,,,
,,25,(NP-Dat) VP-Inf Cop нечего,(NP-Dat) VP-Inf Cop нечего,Есть было нечего.,,,,,,,,,,,Praedic,Praedic,Verb pattern; Adv; Double negation,,Non-existence,Absence,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Absence,,,,,,,,,,,,,,,,,,,,,,,,
