References,Family,,ID Number,Name,Name UD,Illustration,CEFR level,Definition in Russian,Definition in English,Definition in Norwegian,Example 1,Example 2,Example 3,Example 4,Example 5,Morphology,Synt. type of construction,Synt. function of anchor,Synt. structure of anchor,Part of speech of anchor,SemType1,SemSubType1,SemType2,SemSubType2,SemType3,SemSubType3,SemType4,SemSubType4,Semantic role,Communicative type (only for Clause and Biclausal),Usage label,Anchor words,Common fillers,Comment,STRUCTURE in UD,Actionality,Actuality,Additive,Addressee,Apprehension,Assessment,Attitude,Calculation,Caritive,Causation,Cause,Comitative,Comparison,Condition,Concession,Consequence,Degree of accuracy,Degree of intensity,Discourse structure,Epistemic modality (Degree of certainty),Exceptive,Exclusive,Inclusive,Instrument,Manner,Measure,Mirative,Non-existence,Non-Standard Subject,Options,Phase of action,Pluractionality,Possession,Prohibition,Purpose,Quantification,Reaction to the previous discourse,Request,Result,Root modality,Routine,Salient property,Source of information,Source of opinion,Spatial expression,Subset,Taxis,Temporal expression,Temporary characteristics,Timeline,Threat,Volition
,,,3,(а) как же NP-Nom?,(а) как же NP-Nom?,А как же мама?,A1,"Конструкция используется для того, чтобы напомнить адресату о [каком-либо факте]Theme, который он должен принять во внимание. Этот факт известен всем участникам беседы.","This construction is used to remind the addressee of some [fact]Theme, which they should take into consideration. This fact is known to all participants in the conversation.",,"Иван поднял голову и спросил: ― А как же [я]Theme? ― Ты будешь жить с женой и воспитывать сына, ― ответила Ирина.","― Всё, ― объявил водитель, ― дальше не поеду. ― Как же [деньги]Theme? Я заплатил за билет!","В нашем городе ему предложили хорошую работу, поэтому он недолго думая сорвался с насиженного места и уехал. ― А как же  [жена и дети]Theme? ― поинтересовалась Маша.",,,"NP, Nom",Clause,Praedicаtive Expression,Adv,Pron; Adv; Conj,Reaction to the previous discourse,Surprise,Mirative,,,,,,Theme,Interrogative,NA,"а, как, же",,,[root как [advmod же] [nsubj NP-Nom]]; [root [cc а] как [advmod же] [nsubj NP-Nom]],,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,Surprise,,,,,,,,,,,,,,,
,,,4,(а) при чём здесь/тут Cop NP-Nom?,(а) при чём здесь/тут Cop NP-Nom?,При чём здесь наши отношения?,A2,Конструкция используется для выражения недоумения или непонимания говорящим логической связи между темой дискуссии и последним приведенным [аргументом]Theme.,,,"Но при чём здесь [недостатки]Theme, когда речь идёт о собственных детях.","― А при чём тут [я]Theme, ― удивилась Ирина.","Я спросил его, при чём здесь [приезжие гости]Theme, если они никакого отношения к сломанному столу не имеют.","― Кредит, ― сказал он грозно, ― портит отношения. При чем здесь был [кредит]Theme, я не понял.","А у нас даже третьей комнаты нет… Мама не поняла, при чем здесь [третья комната]Theme.","Cop, NP, Nom",Copula Construction,Praedicаtive Expression,,,Reaction to the previous discourse,Surprise,,,,,,,Theme,Interrogative / Exclamatory,NA,"а, при, чём, здесь, тут","я, он",,[root [mark а] [case при] чём [advmod здесь|тут] [nsubj NP-Nom?]]; [root [case при] чём [advmod здесь] [nsubj [amod наши] отношения?]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surprise,,,,,,,,,,,,,,,
,,,5,"(а) Noun-Nom/кто (же) (PronPers-3.Acc) знает, Cl","(а) Noun-Nom/кто (же) (PronPers-3.Acc) знает, Cl","Кто его знает, почему она так поступила.",C1,"Конструкция обозначает, что по мнению говорящего, [никому]Cognizer не известно об [обстоятельствах какой-либо ситуации]Content. Конструкция буквально сообщает, что эта информация известна только некоторому  [невероятному или недоступному участнику]Cognizer. Если [участник ситуации]Topic, описанной в клаузе, имеет женский род и/или стоит в форме множественного числа, то это можно отражать (заполнитель ""её"" или ""их"" в слоте PronPers-3) или не отражать (заполнитель ""его"" в слоте PronPers-3) в первой части конструкции. Ограничение на имя существительное: бог, чёрт, шут, пёс, бес, леший, дьявол, господь.",,,"[Чёрт]Cognizer [его]Topic знает, [что она вчера вечером делала в лаборатории]Content.","[Бог]Cognizer [его]Topic знает, [где они сейчас]Content.","― [Шут]Cognizer [его]Topic знает, [как оно получилось]Content. Всё считал ― есть сено в запасе, есть. Ещё с прошлого лета стог сена в лесу оставил.","[Чёрт]Cognizer [ее]Topic знает, [что у нее там случилось со здоровьем]Content.","[Бог]Cognizer [их]Topic знает, [зачем они приезжали ― по делам или так, погулять в столице]Content.","Noun, Nom, Cl",Matrix + Subordinate Clause Construction,Matrix Predicate,,,Epistemic modality,Low degree of certainty,,,,,,,"Content, Cognizer, Topic",,Colloquial,"а, кто, же, его, её, их, знает","бог, чёрт, шут, пёс, бес, господь, леший, дьявол",,"[root [cc а] [nsubj NP-Nom] [advmod же] [obj его] знает, [advcl Cl]]; [root [nsubj кто] [obj его] знает, [xcomp [advmod почему] [nsubj она] [advmod так] поступила]]",,,,,,,,,,,,,,,,,,,,Low degree of certainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6,(а/так) что насчёт XP?,(а/так) что насчёт XP?,Что насчёт пятницы? Какие у тебя планы?,B1,"Конструкция обозначает, что говорящий интересуется каким-либо [вопросом]Theme или [темой]Theme, о которой говорилось раньше.",This construction is used to ask about the addressee’s thoughts on [a topic]Theme that has been mentioned earlier.,Konstruksjonen brukes for å høre hva adressaten tenker om et [tema]Theme som har vært nevnt tidligere.,"А что насчёт [завтра]Theme, мы поедем на дачу?",Так что насчёт [нашего контракта]Theme?,Что насчёт [фильма]Theme? Какой будем сегодня вечером смотреть.,"Мыслить то хорошо, а как насчёт [чтобы встать и сделать]Theme?","Можно ли измерить счастье? А как насчёт [качества вашей жизни]Theme? Вы задумывались о том, от чего оно зависит?","XP, Cl, Adv, NP",Clause,,Prep,,Discourse structure,Topic,,,,,,,,Interrogative,NA,"а, так, что, насчёт",,,[root [mark а] [mark что [fixed насчёт]] XP?]; [root [mark а] [mark что [fixed насчёт]] пятницы?] Какие у тебя планы?,,,,,,,,,,,,,,,,,,,Topic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7,NP-Nom Cop похожий-Short на NP-Acc (NP-Ins/по NP-Dat),NP-Nom Cop похожий-Short на NP-Acc (NP-Ins/по NP-Dat),Вася похож на папу.,A1,"Конструкция используется для выражения сходства между [объектом]Theme и [некоторым прототипом]Standard, но необязательно их полного совпадения. Конструкция выражает сравнение и акцентирует сходство двух объектов или ситуаций по некоторому признаку.",,,,,,,,,Copula Construction,Praedicаtive Expression,Praedic,,Comparison,Similarity,,,,,,,,,NA,,,,[root [nsubj Вася] похож [obl [casе на] NP-Acc]]; [root [nsubj NP-Nom] [cop быть] похож [obl [casе на] NP-Acc]],,,,,,,,,,,,,Similarity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8,"(вот) то́-то и оно́, что Cl/XP","(вот) то́-то и оно́, что Cl/XP","То-то и оно, что от меня ничего не зависит.",С1,,,,,,,,,,Matrix + Subordinate Clause Construction,Matrix Predicate,Matrix,,Reaction to the previous discourse,Focus,,,,,,,,,Colloquial,,,,"[root [advmod вот] то-то [nsubj [advmod и] оно], [mark что] [advcl Cl]]; [root то-то [nsubj [advmod и] оно], [mark что] [advcl [nsubj ничего] [aux бы] [obl [case от] [amod его] помощи] [advmod не] изменилось.]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focus,,,,,,,,,,,,,,,
,,,9,(всё) никак не VP-Ipfv,(всё) никак не VP-Imp,Задача всё никак не решалась.,C1,"Конструкция обозначает, что какое-либо [действие]Action продолжается долгое время и по-прежнему не заканчивается, несмотря на желание говорящего прекратить или остановить его.",,,Он никак не [мог закончить домашнее задание.]Action,Дверь всё никак не [закрывалась.]Action,"А мысль крутится, крутится, никак не [останавливается.]Action","Я изо всех сил вслушивался в её голос и всё никак не [мог вспомнить]Action, кому он принадлежит.","Настя искала и все никак не [находила нужный документ]Action, пока из одной из папок не выпала красненькая книжка.",,Head + Modifier Construction,,,,Degree of intensity,Minimizer: Absence,,,,,,,,,NA,,,,[root [advmod никак] [advmod не] VP-Imp]; [root [nsubj задача] [advmod всё] [advmod никак] [advmod не] решалась],,,,,,,,,,,,,,,,,,Minimizer: Absence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10,"(единственное) что (не) VP, так это (не) VP","(единственное) что (не) VP, так это (не) VP","Чего дочь не сделала, так это не убралась.",B2,,,,,,,,,,Biclausal Construction,,,,Quantification,Exclusive,Discourse structure,Emphasis,,,,,,Assertive,NA,,,,"[root [nmod единственное] [obj что] [nsubj NP-Nom] [advmod не] VP, [parataxis [advmod так] [pron это] Cl]]; [root [obj чего] [nsubj дочь] [advmod не] сделала, [parataxis [advmod так] [pron это] [advmod не] убралась]]",,,,,,,,,,,,,,,,,,,Emphasis,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,11,"(как) по мне, (так) Cl","(как) по мне, (так) Cl","Как по мне, это ещё не беда.",B2,,,,,,,,,,Cl/XP with parentheticals,Parenthetical,,,Source of opinion,Expressing opinion,,,,,,,,,Colloquial,,,,"[root [obl [case по] мне], [advmod так] Cl]; [root [advmod как] [parataxis [case по] мне], [nsubj это] [advmod ещё] [advmod не] проблема]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expressing opinion,,,,,,,,
,,,12,(не) время Cop VP-Inf,(не) время Cop VP-Inf,Самое время вершить большие дела.,B1,,,,,,,,,,Copula Construction,Praedicаtive Expression,,,Causation,Indirect,Time,Proper time,,,,,,Assertive,NA,,,,[root [advmod не] время [csubj VP-Inf]]; [root [amod самое] время [csubj вершить [obj [amod большие] дела.]]],,,,,,,,,,Indirect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Proper time,,,,
,,,13,NP-Nom пойти/Cop весь в NP-Acc,NP-Nom пойти/Cop весь в NP-Acc,Он пошел весь в отца.,B1,"Конструкция служит для выражения значительного сходства кого-либо [с его близким или дальним родственником]Theme. Сходство может быть как в характере, так и во внешности. Конструкция может иметь некоторую негативную оценку при сравнении плохих черт характера. Например: ""посмотри на него, свинью, весь в своего отца"".","This construction means that someone is very similar to [a close or distant relative]Theme, either in their character or in their looks. When it is used to compare bad character traits, the construction has a negative connotation, e.g. посмотри на него, свинью, весь в своего отца ‘look at him, that swine, he is just like his father’.","Konstruksjonen uttrykker at noen er svært lik [en nær eller fjern slektning]Theme. Likhetstrekkene kan være knyttet både til personlighet og utseende. Når konstruksjonen brukes om dårlige likhetstrekk, har den en negativ konnotasjon, f.eks. посмотри на него, свинью, весь в своего отца ‘se på ham, det svinet, han er akkurat som faren’.",Брат так похож на неё лицом и характером. Весь в [маму]Theme.,"В бабушку, вся в [бабушку]Theme, — говорил иногда старик, рассматривая внучку.",Дочь вся в [папу]Theme пошла.,,,"NP, Acc",Copula Construction,Praedicаtive Expression,Verb; Praedic,Verb; Prep; Pron,Comparison,Similarity,,,,,,,Theme,Assertive,NA,"пойти, весь, в, вся","маму, отца",,[root (пойти) [acl весь [nmod [case в] NP-Acc]]]; [root [nsubj он] пошел [acl весь] [nmod [case в] отца]],,,,,,,,,,,,,Similarity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,14,(Cl) разве что/только Cl,(Cl) разве что/только Cl,"Не буду пить, разве что пригублю.",,,,,,,,,,,Connection Construction,Conjunction,,,Concession,,Quantification,Exclusive,,,,,,Assertive,NA,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,15,"Cl, а NP-Nom опять VP-Imp!","Cl, а NP-Nom опять VP-Imper!","Он ушел домой, а я опять переделывай всё после него.",,,,,,,,,,,Clause,,,,Attitude,Dissatisfaction,Comparison,Contrast,Root modality,Necessity: External,,,,Exclamatory,Colloquial,,,,,,,,,,,Dissatisfaction,,,,,,Contrast,,,,,,,,,,,,,,,,,,,,,,,,,,,Necessity: External,,,,,,,,,,,,
,,,16,(NP-Dat) грех Cop VP-Inf,(NP-Dat) грех Cop VP-Inf,Грех обижаться на взрослых.,,,,,,,,,,,Copula Construction,Praedicаtive Expression,,,Assessment,Negative,,,,,,,,,Colloquial,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,17,(NP-Dat) давно пора Cop VP-Inf,(NP-Dat) давно пора Cop VP-Inf,Детям давно пора поесть.,B1,"Конструкция обозначает, что, по мнению говорящего, [событие]Action должно было наступить раньше настоящего момента или [участник ситуации]Participant должен был выполнить какое-либо [действие]Action раньше настоящего момента.","This construction means that, according to the speaker, a given [event]Action should already have taken place, or a [participant in the situation]Participant should already have performed a certain [Action]Action.","Ved hjelp av denne konstruksjonen uttrykker taleren at en gitt [hendelse]Action etter vedkommendes mening allerede burde ha funnet sted, eller at [deltageren i en viss situasjon]Participant allerede burde ha utført en gitt [handling]Action.",Да и [спать]Action давно пора!,"Она говорит, что [дочери]Participant давно пора  [найти мужа]Action, но она говорит, что пока ещё не хочет замуж.","Отец объявляет, что [сыну]Participant давно пора [идти домой]Action.",,,"NP, Dat, VP, Inf",Copula Construction,Praedicаtive Expression,NP,Adv; Noun,Time,Proper time,Causation,Direct,Root modality,Necessity: External,,,"Participant, Action",Assertive,NA,"давно, пора","спать, есть, ложиться",,[root [nmod NP-Dat] [advmod давно] пора [nsubj VP-Inf]]; [root [nmod детям] [advmod давно] пора [nsubj поесть]],,,,,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necessity: External,,,,,,,,Proper time,,,,
,,,18,(NP-Dat) не мешало бы/не мешает VP-Pfv.Inf,(NP-Dat) не мешало бы/не мешает VP-Perf.Inf,Нам не мешало бы подкрепиться.,,,,,,,,,,,Predicate Argument Construction,Verb,,,Causation,Indirect,Volition,,Root modality,Necessity: External,,,,Assertive,Colloquial,,,,,,,,,,,,,,Indirect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necessity: External,,,,,,,,,,,,Unspecified
